04/04/1999,England,Eastbourne,50.8,0.25,Teardrop,I saw a flying saucer on 4 April 1999 over the shores of the English Channel
05/04/1999,England,Buckfastleigh,50.481799,-3.779342,Circle,appeared as bright silver globe with huge &#39comet&#39 trail...obesrved with binoculors&#44 changed colour to bright blue&#44 sudden waver in trag
06/04/1999,Scotland,Aberdeenshire,57.166667,-2.666667,Fireball,Seemed like an enermous asteroid entering Earth.
08/04/1999,England,Beeby,52.664913,-1.034894,Formation,Driving home i stopped at traffic lights. I saw a formation of 3 orange/brown lights flying in a equalateral formation (about a mile aw
15/04/1999,England,Manchester,53.5,-2.216667,Light,there was only the one&#44 it seemed like a meteor or controlled fireball yet is was a deep red and didnt seem to fall&#44 it just &#39hovered&#39
16/04/1999,England,Barrow-in-Furness,54.108967,-3.218894,Other,On April 16th 1999 I observed an unknown object.
10/05/1999,Scotland,Carrington,55.833333,-3.083333,Formation,a formation of aprox 15 tiny red oblongs in an oblong shape &#441 inch in size due north of the city. with a small number of things of the
20/05/1999,England,West Northamptonshire,52.355518,-1.17432,Cigar,UFO with single bright flashing light flew very fast and very low over horizon .
01/06/1999,England,Manchester,53.5,-2.216667,Triangle,Triangle and jet &#39stuck&#39 behind cloud meet behind cloud and only jet emerges
01/06/1999,England,Broadstairs,51.335545,1.419895,Circle,it was when i was 7 i saw a wite spot floting in the air then it sta rted to move towards the west.
01/06/1999,England,Maldon,51.716667,0.683333,Other,Motionless object in the sky with three red lights
12/06/1999,England,Wolverhampton,52.583333,-2.133333,Light,Just after seeing a meteorite&#44 a small steady light (which I at first assumed was a saterlite) slowly moved in oposite direction.It sud
13/06/1999,England,Bispham,53.85,-3.05,Teardrop,I saw an object fly extremely close above my head.
15/06/1999,England,Taunton,51.015344,-3.106849,Other,well i video&#39d this object 2 summers ago reported it to our local ufo people called utopia.. even the local tv station where interested
15/06/1999,England,Sheffield,53.366667,-1.5,Formation,4 craft in formation with witnesses
15/06/1999,England,Allesley,52.416667,-1.55,Triangle,I CANT EXPLAIN IT
20/06/1999,England,Whittington,52.166667,-2.166667,Circle,&quot;i saw a dot in the sky then another appeared &#44 then two more . then one by one they disappeared with only one left it went behind a cl
23/06/1999,England,Calne,51.43933,-2.003884,Cigar,Spotted flying approx 250 ft above rooftops&#44 craft 100ft long approx.  Six to eight lights on each side of central red light.  Hovering
30/06/1999,England,West Northamptonshire,52.355518,-1.17432,Fireball,Slow moving burning rock&#44 flying in a horizontal line feet away from me
05/07/1999,England,Beeby,52.664913,-1.034894,Sphere,its the bestest sighting i&#39ve seen yet
10/07/1999,England,Lower Town,53.816667,-1.95,Other,a boumarang shaped craft that shocked three campers
12/07/1999,Wales,Carmarthen,51.85762,-4.312131,Flash,Chrome like object seen moving in the smoke trail left behind after an aeroplane
18/07/1999,England,Manchester,53.5,-2.216667,Light,One large and 2 small orange disks seen in the western sky.
19/07/1999,England,Leeds,53.8,-1.583333,Disk,When I was 9 I saw a UFO in the sky in 1 place for a few hours
20/07/1999,England,Loughborough,52.772099,-1.206166,Cone,glowing lights humming sound spinning  it could dart from place to place in a split second.beams of light
22/07/1999,England,South Shields,54.987778,-1.421389,Other,Corny as it may seem I believe that we are not alone&#44 although I have never seen a ufo there is still time. Anyway enough babling&#44 I li
23/07/1999,England,Bishopstone,50.790228,0.088627,Teardrop,ALUMINEUM IN COLOR ROTATING WITH A WOBBLE&#44IT WAS APROXIMATELY 30 FEET IN DIAMETER IT HOVERED OVER TREES FOR THREE MINUTES BEFORE SLOWLE
24/07/1999,England,South Shields,54.987778,-1.421389,Fireball,Unnoticed fireball travelling towards ground then dissapears behind building never to be seen or mentioned
03/08/1999,England,Bishop Auckland,54.663822,-1.678788,Light,very bright light&#44 appeared to be an extremely bright star until it moved.
08/08/1999,England,Crewe,53.100405,-2.443821,Other,&quot;H&quot; shape high altitude moving e to w. looke pale blue/white.(imagine a civil craft at altitude) Clear blue sky.&quot;H&quot; shape &quot;crosspiece&quot;
10/08/1999,Wales,Ceredigion,52.130661,-3.783712,Triangle,CRAFT ABOUT 20 FEET LONG 15 FEET WIDE AT REAR THREE LIGHTS AT NOSE(RED&#44BLUE AND YELLOW)CLIFF TOP AT DUNRAVEN BEACH SOUTHERNDOWN S.WALES
11/08/1999,Scotland,Peterhead,57.508123,-1.784066,Egg,bright white object travelling very fast&#44trail dissipated after 1 second visible in daylight
14/08/1999,England,Langley,51.508062,-0.541737,Circle,14 round objects flying in a v formation heading roughly east/south east of my posistion directly towards Heathrow Airport&#33(8 miles awa
15/08/1999,England,Newquay,50.415497,-5.073719,Circle,Rapidly accelerating and direction changing blue ring of light seen for thirty seconds.
29/08/1999,England,Aspley Guise,52.033333,-0.633333,Changing,THE CRAFT WAS MOVING VERY FAST SHIMMERING GOLD/YELLOW I LIVE IN THE FLIGHT PATH OF MANCHESTER AIRPORT AT THE TIME A 747 WAS WINDING DOW
01/09/1999,England,Redcar and Cleveland,54.572778,-1.162778,Teardrop,bright teardrop descending
05/09/1999,England,Peterborough,52.583333,-0.25,Triangle,very large triangle&#44seven lights along leading edge&#44no noise&#44sean at night&#44on the 5/9/99.
10/09/1999,England,Hemsby,52.695889,1.684487,Light,2 lights just appeared and moved rapidly across the sky paralel to each other then seemed to close in on eachother then drift away. the
11/09/1999,Scotland,Kilmarnock,55.614719,-4.498792,Light,It seemed to be observing my house. It started growing again then emitted a flash. I opened my eyes. The light was gone.
11/09/1999,Scotland,Kilmarnock,55.614719,-4.498792,Light,It was a bright light that stood out in the sky as there were no other stars and it was too big to be a star.
18/09/1999,England,City of London,51.514125,-0.093689,Unknown,2 orange glows came over our heads no sound possibly possibly connected together but could see no shape constant speed sighted for abou
23/09/1999,England,Sunderland,54.911944,-1.383333,Flash,there was a flash in the eastern sky then an object flashed over head from east to west leaving a trail behind it
24/09/1999,England,Beaconsfield,51.6,-0.633333,Triangle,3 disks of dim light connected to triangular shape in night sky
25/09/1999,England,Wilberfoss,53.951048,-0.884723,Light,Blue/white fanning light&#44 which closed to a point and gradually faded to ground level
30/09/1999,England,Newcastle upon Tyne,54.978252,-1.61778,,Seven orange lights travelling N.E to S.W
05/10/1999,Northern Ireland,Newcastle,54.2,-5.883333,Triangle,TRIANGULAR&#44BRIGHT&#44INCREDIBLE SPEED&#44AMAZINGLY HIGH UP&#44OUT OF CHARICTER  TO ME.
06/10/1999,England,Park Central,52.466667,-1.916667,Oval,small&#44 oval object floating in the sky (not a balloon)
13/10/1999,Scotland,East Kilbride,55.766667,-4.166667,Unknown,It was from a high flat window&#44 several miles away high&#44 really high up in the sky. I was scepticle as the object never moved&#44 I could
15/10/1999,England,Sheffield,53.366667,-1.5,Triangle,THE UFO
15/10/1999,Scotland,Inverness,57.466667,-4.233333,Formation,Four bright white lights moving in a row
26/10/1999,Wales,Newport,52.016667,-4.833333,Oval,oval&#44 lit up brigthly with flashing lights at the bottom.
27/10/1999,England,Harrogate,54.13564,-1.527334,Circle,two orange balls next to each other moving eraticly then dissapered over near roof tops
30/10/1999,England,Longridge,53.829579,-2.597118,Circle,BLUISH-WHITE CIRCULAR LIGHT
03/11/1999,England,Rawson Green,53.007732,-1.433412,Unknown,I saw a light in the sky&#44 looking much like a bright star. When I looked closer it was moving slowly up&#44 then it shot up into the air.
15/11/1999,Scotland,Elgin,57.65,-3.333333,Light,Two lights&#44 both red floating about 50 feet above the ground. A clear night. Visibility excellent. Stars between the lights were obscur
15/11/1999,England,Lincoln,53.230688,-0.540579,Other,Silenced by Military Police Laughed at by Metropolitan Police
04/12/1999,Scotland,Glasgow,55.833333,-4.25,Light,Glasgow&#44 Scotland.
